time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-09-14T01:01:41.270Z,33.663,-116.7273333,19.154,0.59,ml,17,110,0.07563,0.17,ci,ci37242167,2015-09-14T01:05:40.826Z,"9km S of Idyllwild, California",earthquake
2015-09-14T00:55:23.180Z,19.7696667,-155.8598328,32.84,2.52,md,43,181,0.08757,0.17,hv,hv61037726,2015-09-14T00:59:19.708Z,"13km ENE of Kalaoa, Hawaii",earthquake
2015-09-14T00:04:53.080Z,36.0844,-97.4304,5,3.4,mb_lg,,30,0.287,0.76,us,us20003j83,2015-09-14T02:21:04.194Z,"20km NE of Crescent, Oklahoma",earthquake
2015-09-14T00:04:47.000Z,60.1423,-141.7452,0,1.4,ml,,,,0.8,ak,ak11701859,2015-09-14T00:23:16.616Z,"39km ENE of Cape Yakataga, Alaska",earthquake
2015-09-14T00:02:42.000Z,63.1205,-151.5473,10.7,2.4,ml,,,,0.89,ak,ak11701855,2015-09-14T07:19:24.467Z,"115km NW of Talkeetna, Alaska",earthquake
2015-09-13T23:52:36.294Z,38.6565,-118.786,12.3107,0.47,ml,7,153.18,0.208,0.1162,nn,nn00510498,2015-09-14T01:47:47.614Z,"20km NW of Hawthorne, Nevada",earthquake
2015-09-13T23:43:32.213Z,38.5167,-118.5087,10.2347,0.06,ml,6,165.96,0.112,0.1379,nn,nn00510487,2015-09-14T01:44:41.804Z,"10km E of Hawthorne, Nevada",earthquake
2015-09-13T23:14:23.107Z,38.6969,-119.4957,14.9017,1.02,ml,5,205.72,0.216,0.1084,nn,nn00510495,2015-09-14T01:41:37.755Z,"16km SW of Smith Valley, Nevada",earthquake
2015-09-13T22:49:50.000Z,53.4761,-167.4315,13.2,1.7,ml,,,,0.92,ak,ak11701733,2015-09-14T04:28:38.044Z,"73km SW of Unalaska, Alaska",earthquake
2015-09-13T22:31:36.200Z,19.6308,-64.5875,77,3.7,Md,14,280.8,1.1462503,0.2,pr,pr15256009,2015-09-14T06:34:10.971Z,"134km N of Road Town, British Virgin Islands",earthquake
2015-09-13T22:14:09.200Z,36.9981651,-121.7350006,2.5,1.49,md,9,188,0.265,0.3,nc,nc72524916,2015-09-13T22:15:45.150Z,"5km N of Interlaken, California",earthquake
2015-09-13T22:03:07.000Z,64.2656,-148.6044,14.7,0.8,ml,,,,0.29,ak,ak11701726,2015-09-13T22:20:24.816Z,"42km SE of North Nenana, Alaska",earthquake
2015-09-13T22:02:22.410Z,36.0128326,-120.9468307,11.35,1.99,md,36,50,0.04816,0.08,nc,nc72524911,2015-09-13T22:05:19.370Z,"27km SE of King City, California",earthquake
2015-09-13T21:57:46.900Z,18.7341,-64.8725,37,2.9,Md,10,205.2,0.3880722,0.3,pr,pr15256008,2015-09-14T06:00:21.225Z,"43km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-09-13T21:30:20.000Z,60.3461,-150.2879,40.6,1.3,ml,,,,0.05,ak,ak11701611,2015-09-13T21:48:02.294Z,"33km SE of Sterling, Alaska",earthquake
2015-09-13T21:24:49.505Z,38.5103,-118.5078,8.5991,0.79,ml,10,75.2,0.119,0.0978,nn,nn00510476,2015-09-13T22:19:14.938Z,"10km E of Hawthorne, Nevada",earthquake
2015-09-13T21:05:01.130Z,33.3825,-116.4756667,7.839,0.37,ml,15,94,0.07816,0.38,ci,ci37242135,2015-09-13T21:08:56.205Z,"17km NNW of Borrego Springs, California",earthquake
2015-09-13T20:35:13.000Z,61.9083,-149.3421,6.4,1.3,ml,,,,0.5,ak,ak11701610,2015-09-13T20:47:24.265Z,"19km NNW of Fishhook, Alaska",earthquake
2015-09-13T19:50:51.360Z,19.3360004,-155.0863342,6.55,2.21,ml,46,167,0.04991,0.29,hv,hv61037626,2015-09-13T19:56:37.150Z,"19km ESE of Volcano, Hawaii",earthquake
2015-09-13T19:24:13.350Z,34.3208333,-116.8383333,3.907,1.19,ml,26,55,0.02857,0.22,ci,ci37242119,2015-09-13T19:28:05.689Z,"7km N of Big Bear City, California",earthquake
2015-09-13T19:14:52.550Z,34.4453333,-117.9146667,11.663,1.48,ml,28,43,0.03386,0.16,ci,ci37242111,2015-09-13T19:18:57.940Z,"7km S of Pearblossum, California",earthquake
2015-09-13T19:01:43.970Z,34.3185,-116.84,3.607,1.3,ml,30,55,0.03122,0.22,ci,ci37242103,2015-09-13T19:05:32.398Z,"6km N of Big Bear City, California",earthquake
2015-09-13T18:57:14.990Z,33.5985,-116.8193333,8.228,0.17,ml,12,158,0.03939,0.13,ci,ci37242095,2015-09-13T19:01:12.046Z,"14km WNW of Anza, California",earthquake
2015-09-13T18:56:55.000Z,61.6118,-149.7033,43.5,2,ml,,,,0.59,ak,ak11701601,2015-09-13T21:55:33.242Z,"5km WSW of Meadow Lakes, Alaska",earthquake
2015-09-13T18:36:18.000Z,63.0645,-151.6905,13.7,1.4,ml,,,,0.73,ak,ak11701491,2015-09-14T04:18:54.054Z,"115km NW of Talkeetna, Alaska",earthquake
2015-09-13T18:32:34.160Z,18.6534,146.9877,81.54,4.7,mb,,104,2.602,0.69,us,us20003j6h,2015-09-14T02:35:14.723Z,"139km E of Agrihan, Northern Mariana Islands",earthquake
2015-09-13T18:25:31.329Z,39.6587,-119.8894,6.2483,0.05,ml,9,72.41,0.076,0.1257,nn,nn00510446,2015-09-13T18:47:30.348Z,"4km WNW of Lemmon Valley, Nevada",earthquake
2015-09-13T18:20:51.100Z,37.5994987,-118.7860031,7.18,2.66,md,35,94,0.03552,0.05,nc,nc72524891,2015-09-14T02:23:28.647Z,"17km ESE of Mammoth Lakes, California",earthquake
2015-09-13T18:20:27.000Z,60.1586,-141.549,2,1.1,ml,,,,0.28,ak,ak11701488,2015-09-13T18:33:28.301Z,"50km ENE of Cape Yakataga, Alaska",earthquake
2015-09-13T17:52:24.000Z,63.0569,-143.8758,4.1,0.9,ml,,,,0.5,ak,ak11701484,2015-09-13T18:53:11.777Z,"54km SW of Tok, Alaska",earthquake
2015-09-13T17:35:20.000Z,60.9824,-146.1817,11.4,1,ml,,,,0.75,ak,ak11701473,2015-09-13T18:53:11.134Z,"18km SSE of Valdez, Alaska",earthquake
2015-09-13T17:31:07.580Z,46.8455,-121.761,1.768,0.14,md,5,129,0.02162,0.04,uw,uw61064952,2015-09-14T04:38:11.440Z,"27km NNW of Packwood, Washington",earthquake
2015-09-13T17:15:50.671Z,37.1345,-117.3832,13.8103,0.53,ml,13,142.51,0.138,0.0971,nn,nn00510440,2015-09-13T18:13:29.658Z,"60km WNW of Beatty, Nevada",earthquake
2015-09-13T17:15:22.860Z,33.8828333,-116.0361667,10.266,0.93,ml,18,110,0.1216,0.17,ci,ci37242079,2015-09-13T17:19:19.271Z,"24km NE of Indio, California",earthquake
2015-09-13T17:13:39.430Z,35.9818344,-120.5401688,2.51,0.43,md,9,120,0.02631,0.05,nc,nc72524856,2015-09-13T17:15:16.910Z,"23km SW of Coalinga, California",earthquake
2015-09-13T16:59:41.140Z,46.6185,-119.9533333,1.267,0.28,md,5,321,0.09067,0.09,uw,uw61064937,2015-09-14T04:35:34.410Z,"7km SSW of Desert Aire, Washington",earthquake
2015-09-13T16:57:21.602Z,38.5099,-118.5071,5.6482,0.02,ml,8,121.08,0.119,0.1383,nn,nn00510494,2015-09-14T01:38:31.703Z,"10km E of Hawthorne, Nevada",earthquake
2015-09-13T16:54:49.000Z,62.5324,-149.7953,58.3,1.4,ml,,,,0.69,ak,ak11701376,2015-09-13T17:07:37.887Z,"28km NE of Talkeetna, Alaska",earthquake
2015-09-13T16:41:44.134Z,41.866,-119.6318,8.5606,1.66,ml,7,179.9,0.15,0.1579,nn,nn00510442,2015-09-13T18:22:46.450Z,"69km ESE of Lakeview, Oregon",earthquake
2015-09-13T16:41:28.130Z,37.4788322,-118.8001633,6.74,0.95,md,8,190,0.06307,0.01,nc,nc72524851,2015-09-13T18:04:02.172Z,"24km SE of Mammoth Lakes, California",earthquake
2015-09-13T16:18:31.640Z,-16.2745,-72.6552,74.42,4.7,mb,,136,3.037,0.64,us,us20003j65,2015-09-14T00:21:11.303Z,"39km N of Camana, Peru",earthquake
2015-09-13T16:15:43.214Z,39.658,-119.8892,6.2371,0.82,ml,16,72.36,0.075,0.0822,nn,nn00510437,2015-09-13T17:54:44.569Z,"4km WNW of Lemmon Valley, Nevada",earthquake
2015-09-13T16:03:24.040Z,33.9803333,-117.0781667,18.221,0.82,ml,23,66,0.1002,0.27,ci,ci37242063,2015-09-13T17:17:31.146Z,"2km WSW of Calimesa, California",earthquake
2015-09-13T16:00:32.220Z,38.7939987,-122.7376633,0.91,1.91,md,12,127,0.04715,0.03,nc,nc72524846,2015-09-13T16:02:06.360Z,"2km NE of The Geysers, California",earthquake
2015-09-13T15:58:21.430Z,37.6016655,-118.784668,7.5,1.93,md,30,91,0.03716,0.04,nc,nc72524841,2015-09-13T17:45:15.634Z,"17km ESE of Mammoth Lakes, California",earthquake
2015-09-13T15:38:18.800Z,33.6666667,-116.712,18.51,0.74,ml,26,93,0.04442,0.14,ci,ci37242047,2015-09-13T15:42:25.556Z,"8km S of Idyllwild, California",earthquake
2015-09-13T15:23:42.000Z,61.3849,-147.6749,28.6,1.3,ml,,,,0.66,ak,ak11701267,2015-09-13T15:42:51.284Z,"72km ESE of Lazy Mountain, Alaska",earthquake
2015-09-13T15:21:23.300Z,19.0655,-64.1946,60,2.1,Md,4,324,0.60456619,0.15,pr,pr15256007,2015-09-13T20:06:10.658Z,"84km NNE of Road Town, British Virgin Islands",earthquake
2015-09-13T15:18:02.040Z,34.0728333,-118.7273333,12.849,1.62,ml,15,103,0.04961,0.33,ci,ci37242023,2015-09-13T15:22:10.897Z,"6km NW of Malibu Beach, California",earthquake
2015-09-13T15:14:07.700Z,18.0928,-66.9636,20,1.8,Md,6,118.8,0.14193381,0.17,pr,pr15256006,2015-09-13T19:41:06.777Z,"1km N of Sabana Grande, Puerto Rico",earthquake
2015-09-13T15:04:54.610Z,24.9256,-109.2917,10,4.9,mb,,106,1.37,0.78,us,us20003j5w,2015-09-13T18:45:55.838Z,"78km SSW of Topolobampo, Mexico",earthquake
2015-09-13T14:56:14.130Z,12.1443,-88.2084,33.78,4.5,mb,,188,1.257,0.87,us,us20003j5v,2015-09-13T22:59:00.289Z,"105km SW of Jiquilillo, Nicaragua",earthquake
2015-09-13T14:45:15.120Z,37.5301666,-118.8820038,13.11,0.97,md,11,197,0.07306,0.01,nc,nc72524821,2015-09-13T17:39:00.752Z,"17km SSE of Mammoth Lakes, California",earthquake
2015-09-13T14:40:28.980Z,34.1556667,-116.8093333,2.673,1.17,ml,41,41,0.1219,0.22,ci,ci37241991,2015-09-13T14:51:08.670Z,"12km SSE of Big Bear City, California",earthquake
2015-09-13T14:39:28.404Z,38.5034,-118.5154,8.7669,-0.23,ml,5,179.39,0.125,0.0674,nn,nn00510493,2015-09-14T01:35:23.447Z,"9km ESE of Hawthorne, Nevada",earthquake
2015-09-13T14:33:37.000Z,60.1337,-141.0648,1.1,0.9,ml,,,,0.25,ak,ak11701177,2015-09-13T14:46:42.052Z,"76km E of Cape Yakataga, Alaska",earthquake
2015-09-13T14:19:45.372Z,39.7938,-119.9221,9.4944,0.32,ml,5,130.81,0.168,0.1103,nn,nn00510491,2015-09-14T01:29:09.513Z,"13km NNE of Cold Springs, Nevada",earthquake
2015-09-13T14:16:17.120Z,18.9448338,-155.5486603,41.07,2.36,md,48,238,0.118,0.12,hv,hv61037446,2015-09-13T14:19:40.820Z,"26km ESE of Hawaiian Ocean View, Hawaii",earthquake
2015-09-13T14:13:29.344Z,38.5058,-118.513,5.5425,0.56,ml,7,131.85,0.123,0.1249,nn,nn00510431,2015-09-13T15:01:17.592Z,"9km ESE of Hawthorne, Nevada",earthquake
2015-09-13T14:08:20.220Z,10.3907,56.9304,10,4.7,mb,,129,3.577,0.83,us,us20003j5s,2015-09-13T22:10:56.759Z,"Carlsberg Ridge",earthquake
2015-09-13T13:59:48.290Z,33.493,-116.6503333,5.647,1.21,ml,12,109,0.01401,0.28,ci,ci37241983,2015-09-13T14:03:47.186Z,"7km SSE of Anza, California",earthquake
2015-09-13T13:39:38.530Z,33.9653333,-116.3501667,9.095,0.86,ml,40,60,0.05456,0.17,ci,ci37241975,2015-09-13T13:43:31.649Z,"14km E of Desert Hot Springs, California",earthquake
2015-09-13T13:10:58.300Z,19.3446,-64.4328,88,3.4,Md,10,280.8,0.61893923,0.4,pr,pr15256005,2015-09-13T21:13:26.027Z,"104km N of Road Town, British Virgin Islands",earthquake
2015-09-13T13:05:11.600Z,18.5443,-65.9651,76,2.8,Md,12,201.6,0.2587148,0.2,pr,pr15256004,2015-09-13T21:07:52.445Z,"15km NW of Loiza, Puerto Rico",earthquake
2015-09-13T13:02:43.730Z,33.302,-116.3066667,5.228,0.42,ml,13,140,0.0985,0.17,ci,ci37241967,2015-09-13T13:06:37.215Z,"8km NE of Borrego Springs, California",earthquake
2015-09-13T13:00:54.100Z,19.1949,-65.3657,39,3,Md,4,277.2,0.88484055,0.12,pr,pr15256003,2015-09-13T21:03:51.186Z,"98km NNE of Luquillo, Puerto Rico",earthquake
