"20140412","PIT","MIL",2,3
"20140412","MIA","PHI",4,5
"20140412","DET","SDN",6,2
"20140412","COL","SFN",1,0
"20140412","CHN","SLN",4,10
"20140413","NYN","ANA",2,14
"20140413","TOR","BAL",11,3
"20140413","CLE","CHA",3,4
"20140413","KCA","MIN",3,4
"20140413","BOS","NYA",2,3
"20140413","OAK","SEA",3,0
"20140413","HOU","TEX",0,1
"20140413","LAN","ARI",8,6
"20140413","WAS","ATL",2,10
"20140413","TBA","CIN",4,12
"20140413","PIT","MIL",1,4
"20140413","MIA","PHI",3,4
"20140413","DET","SDN",1,5
"20140413","COL","SFN",4,5
"20140413","CHN","SLN",4,6
"20140414","OAK","ANA",3,2
"20140414","TBA","BAL",1,7
"20140414","SEA","TEX",7,1
"20140414","NYN","ARI",7,3
"20140414","PIT","CIN",8,7
"20140414","WAS","MIA",9,2
"20140414","SLN","MIL",4,0
"20140414","ATL","PHI",9,6
"20140414","COL","SDN",4,5
"20140415","OAK","ANA",10,9
"20140415","BOS","CHA",1,2
"20140415","KCA","HOU",4,2
"20140415","TOR","MIN",9,3
"20140415","SEA","TEX",0,5
"20140415","NYN","ARI",9,0
"20140415","PIT","CIN",5,7
"20140415","WAS","MIA",2,11
"20140415","SLN","MIL",6,1
"20140415","COL","SDN",3,2
"20140415","LAN","SFN",2,3
"20140416","OAK","ANA",4,5
"20140416","TBA","BAL",0,3
"20140416","BOS","CHA",6,4
"20140416","CLE","DET",3,2
"20140416","KCA","HOU",6,4
"20140416","CHN","NYA",0,3
"20140416","CHN","NYA",0,2
"20140416","SEA","TEX",2,3
"20140416","NYN","ARI",5,2
"20140416","PIT","CIN",0,4
"20140416","WAS","MIA",6,3
"20140416","SLN","MIL",1,5
"20140416","ATL","PHI",1,0
"20140416","COL","SDN",2,4
"20140416","LAN","SFN",1,2
"20140417","BOS","CHA",3,1
"20140417","CLE","DET",5,7
"20140417","KCA","HOU",5,1
"20140417","TOR","MIN",0,7
"20140417","TOR","MIN",5,9
"20140417","NYA","TBA",10,2
"20140417","SEA","TEX",6,8
"20140417","ATL","PHI",0,1
"20140417","MIL","PIT",2,11
"20140417","COL","SDN",3,1
"20140417","LAN","SFN",2,1
"20140417","SLN","WAS",8,0
"20140418","BAL","BOS",8,4
"20140418","TOR","CLE",3,2
"20140418","ANA","DET",11,6
"20140418","MIN","KCA",0,5
"20140418","HOU","OAK",3,11
"20140418","NYA","TBA",5,11
"20140418","CHA","TEX",0,12
"20140418","CIN","CHN",4,1
"20140418","PHI","COL",1,12
"20140418","ARI","LAN",4,2
"20140418","SEA","MIA",4,8
"20140418","ATL","NYN",6,0
